,X[[i]]
1775,30494
1776,44459
1777,16088
1778,32637
1779,32447
1780,25670
1781,34626
1782,18508
1783,16088
1784,32448
1785,20688
1786,32637
1787,32447
1788,25670
1789,20688
1790,25670
1791,39711
1792,34626
1793,18508
1794,30494
1795,7858
1796,16088
1797,20688
1798,32637
1799,32447
1800,34626
1801,32448
1802,25670
1803,27407
1804,34626
1805,18508
1806,44459
1807,16088
1808,27407
1809,42768
1810,30668
1811,25910
1812,11579
1813,49950
1814,47638
1815,38652
1816,45251
1817,49994
1818,50527
1819,7858
1820,16088
1821,32448
1822,20688
1823,32637
1824,32447
1825,7858
1826,16088
1827,32448
1828,20688
1829,25670
1830,39711
1831,16088
1832,20688
1833,32637
1834,25670
1835,18508
1836,30494
1837,20688
1838,35003
1839,42768
1840,49950
1841,47638
1842,34753
1843,20688
1844,32447
1845,25670
1846,39711
1847,34626
1848,30494
1849,20688
1850,32637
1851,32447
1852,25670
1853,18508
1854,30494
1855,35003
1856,39456
1857,49950
1858,30055
1859,26856
1860,17306
1861,16088
1862,32448
1863,20688
1864,39711
1865,27407
1866,30494
1867,7858
1868,16088
1869,20688
1870,35003
1871,42768
1872,24329
1873,20688
1874,32637
1875,32447
1876,39711
1877,30494
1878,44459
1879,7858
1880,20688
1881,32447
1882,34626
1883,18508
1884,30494
1885,7858
1886,16088
1887,20688
1888,32637
1889,25670
1890,39711
1891,32637
1892,25670
1893,39711
1894,27407
1895,18508
1896,44459
1897,7858
1898,20688
1899,25670
1900,27407
1901,18508
1902,30494
1903,7858
1904,20688
1905,32637
1906,32447
1907,18508
1908,30494
1909,7858
1910,20688
1911,25670
1912,30494
1913,35003
1914,42768
1915,16088
1916,20688
1917,27407
1918,44459
1919,35003
1920,42768
1921,20688
1922,25670
1923,39711
1924,34626
1925,18508
1926,44459
1927,32637
1928,32447
1929,25670
1930,39711
1931,27407
1932,18508
1933,20688
1934,27407
1935,34626
1936,18508
1937,30494
1938,30055
1939,27407
1940,30494
1941,44459
1942,24329
1943,30668
1944,26856
1945,16088
1946,32448
1947,20688
1948,32637
1949,32447
1950,25670
1951,35003
1952,24329
1953,34753
1954,11579
1955,26856
1956,35619
1957,20688
1958,30494
1959,35003
1960,42768
1961,49950
1962,38015
1963,32448
1964,32637
1965,32447
1966,39711
1967,34626
1968,44459
1969,20688
1970,32637
1971,32447
1972,39711
1973,34626
1974,30494
