;dorama_id;dorama_title;overall_rating;watching;seasons;year;genres;Type;doramatv
201;44483;Because It's the First Time;4,07;240;1;2015;{7,1};1;http://doramatv.ru/because_it_s_the_first_time
202;36055;God's Gift - 14 Days;4,55;248;1;2014;{26,6};1;http://doramatv.ru/god_s_gift___14_days
203;39406;Dr. Frost;3,67;267;1;2014;{26,28};1;http://doramatv.ru/dr__frost
204;25676;Bad Guy;3,98;241;1;2010;{26,7,6};1;http://doramatv.ru/bad_guy
205;34622;Miss Korea;3,43;246;1;2013;{7,6};1;http://doramatv.ru/miss_korea
206;31878;Pasta;4,1;253;1;2010;{56,6,7};1;http://doramatv.ru/pasta
207;44621;Nice Guy;4,02;234;1;2012;{6,7};1;http://doramatv.ru/nice_guy
208;36059;Her Lovely Heels;3,48;225;1;2014;{7};1;http://doramatv.ru/her_lovely_heels
209;37249;Triangle;4,02;224;1;2014;{6,4,28,7};1;http://doramatv.ru/triangle__2014
210;38782;The Greatest Marriage;3,72;225;1;2014;{6,1,7};1;http://doramatv.ru/the_greatest_wedding
211;31608;INFINITE's Ranking King;4,48;219;1;2012;{37,1};0;http://doramatv.ru/infinite_s_king_of_ranking
212;30886;Explorers Of The Human Body;4,48;259;1;2007;{1,33,43};0;http://doramatv.ru/explorers_of_the_human_body
213;42780;My Unfortunate Boyfriend;3,69;223;1;2015;{7,1};1;http://doramatv.ru/my_unfortunate_boyfriend
214;32116;Take Care of Agasshi /My Fair Lady;3,71;219;1;2009;{1,7};1;http://doramatv.ru/take_care_of_agassi
215;34919;Phantom;4,35;222;1;2012;{6,25};1;http://doramatv.ru/ghost__2012
216;43103;SIXTEEN (JYP);4,08;220;1;2015;{11,96,38,2};0;http://doramatv.ru/sixteen
217;43827;Fall in Love with Soon-Jung;4,11;220;1;2015;{1,6};1;http://doramatv.ru/fall_in_love_with_soon_jung
218;50478;BTS Bon Voyage;4,87;237;1;2016;{1};0;http://doramatv.ru/bts_bon_voyage
219;30820;Nine: Nine Time Travels;4,02;224;1;2013;{7,6};1;http://doramatv.ru/nine__nine_times_time_travel
220;43780;We broke up;3,83;212;1;2015;{7,6,1};1;http://doramatv.ru/we_broke_up
221;38793;Twenty Years Old;3,75;212;1;2014;{7,2};1;http://doramatv.ru/twenty_years_old
222;12584;Athena: Goddess of War;3,82;233;1;2010;{26,4,105};1;http://doramatv.ru/athena__goddes_of_war
223;33931;I need romance 2012;3,72;205;1;2012;{6,7};1;http://doramatv.ru/i_need_romance_2
224;42117;Ho Goo's Love;3,98;207;1;2015;{7,1};1;http://doramatv.ru/ho_goo_s_love
225;36686;This is INFINITE;4,37;200;1;2014;{37};0;http://doramatv.ru/this_is_infinite
226;49611;Beautiful Mind;4,41;207;1;2016;{35,6,26};1;http://doramatv.ru/beautiful_mind
227;36566;Secret Love Affair;3,85;213;1;2014;{7,6,32};1;http://doramatv.ru/secret_love_affair
228;38014;Plus Nine Boys;4,14;200;1;2014;{6,7,1};1;http://doramatv.ru/plus_nine_boys
229;34609;Age of feeling: Inspiring generation;3,8;211;1;2014;{6,36,4,45,7};1;http://doramatv.ru/age_of_feeling
230;38748;Hitmaker;4,22;196;2;2014;{37};0;http://doramatv.ru/hit_maker
231;38018;The Night Watchman;3,6;203;1;2014;{26,12,7,6,45};1;http://doramatv.ru/night_watchman_s_journal
232;45365;Imaginary Cat;3,94;229;1;2015;\N;1;http://doramatv.ru/imaginary_cat
233;44897;Bubblegum;3,59;195;1;2015;{6,7};1;http://doramatv.ru/bubblegum
234;51394;Positive Physique;4,15;200;1;2016;{7,6};1;http://doramatv.ru/be_positive
235;20894;Strong Heart;4,42;196;1;2009;{37,54};0;http://doramatv.ru/strong_heart
236;38020;Cantabile Tomorrow;3,84;201;1;2014;{1,32,7};1;http://doramatv.ru/naeil_s_cantabile
237;51139;Something About 1%;4,21;194;1;2016;{7,1};1;http://doramatv.ru/something_about_1___2016_
238;31762;B.A.P's Killing Camp;4,38;190;1;2012;{37,1};1;http://doramatv.ru/b_a_p_s_killing_camp
239;45285;I Remember You;4,45;201;1;2015;{1,25,7,26};1;http://doramatv.ru/i_remember_you
240;29480;Paradise Ranch;3,54;191;1;2011;{10,7,104,1,6};1;http://doramatv.ru/paradise_ranch
241;52003;Introverted Boss;3,7;190;1;2017;{1,7};1;http://doramatv.ru/introverted_boss
